{'loss': 2.6875, 'grad_norm': 9.977030721069216, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 1.8438, 'grad_norm': 10.125083170828288, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 0.8398, 'grad_norm': 32.49536132271553, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.5469, 'grad_norm': 30.48513773564123, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 0.8008, 'grad_norm': 34.952482618117784, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 1.4141, 'grad_norm': 19.10843704133092, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.4531, 'grad_norm': 15.206859460174753, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 1.0859, 'grad_norm': 5.427015787601635, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 1.75, 'grad_norm': 6.627700728866203, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 1.3906, 'grad_norm': 11.703461805323231, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.1562, 'grad_norm': 6.012955187783003, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 1.7656, 'grad_norm': 6.581290623082657, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.2656, 'grad_norm': 10.741439517134845, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 1.8125, 'grad_norm': 12.384291377725441, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.7969, 'grad_norm': 49.0201144567157, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.4531, 'grad_norm': 5.8115904909054406, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.6094, 'grad_norm': 25.030240283024103, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 0.9023, 'grad_norm': 5.282634395334259, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.625, 'grad_norm': 12.653431411891672, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.1719, 'grad_norm': 11.085370465520215, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 1.7578, 'grad_norm': 17.235136553561823, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 1.4922, 'grad_norm': 8.002839895704884, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.3594, 'grad_norm': 11.116280481655822, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.1562, 'grad_norm': 16.181794852225583, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.7344, 'grad_norm': 12.721019905711676, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.0312, 'grad_norm': 9.356491545028806, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.9844, 'grad_norm': 11.44287544609921, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.2031, 'grad_norm': 7.935132610376768, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 0.6172, 'grad_norm': 22.864021225606876, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.125, 'grad_norm': 13.490632328028918, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.4062, 'grad_norm': 6.8859815770232755, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 1.0312, 'grad_norm': 16.622162356235226, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 1.8828, 'grad_norm': 6.40350495079073, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.7656, 'grad_norm': 23.7099946130689, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.3125, 'grad_norm': 6.896618843706825, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 1.1875, 'grad_norm': 8.239194258044249, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 1.9766, 'grad_norm': 15.125553713325717, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 1.7344, 'grad_norm': 6.743460993123886, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 0.9727, 'grad_norm': 10.267873243494448, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 1.5156, 'grad_norm': 18.8163201540044, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 1.6172, 'grad_norm': 15.110082726601707, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.1094, 'grad_norm': 24.514678593185963, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 1.3203, 'grad_norm': 32.04335313463111, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 0.9062, 'grad_norm': 3.761248467565585, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 1.1719, 'grad_norm': 33.01152594293768, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 0.8008, 'grad_norm': 45.30470694577936, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 1.6875, 'grad_norm': 13.917312086505087, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.0469, 'grad_norm': 12.227576300753991, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.2188, 'grad_norm': 40.970814633906656, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.3281, 'grad_norm': 26.980166190798784, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 1.2891, 'grad_norm': 10.279093050157238, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 1.4453, 'grad_norm': 15.269526530073732, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 4.4062, 'grad_norm': 61.473452773842624, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 5.1562, 'grad_norm': 35.04139200110894, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.9062, 'grad_norm': 41.33578961956988, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 1.8359, 'grad_norm': 9.623222472187877, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 1.7891, 'grad_norm': 39.58331399548399, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.7656, 'grad_norm': 27.337703766940905, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.2344, 'grad_norm': 9.407320277803727, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.5625, 'grad_norm': 12.928552962922472, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 3.1719, 'grad_norm': 33.154035117049474, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 1.1875, 'grad_norm': 9.234605332551018, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.2812, 'grad_norm': 7.394402572599866, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 1.5391, 'grad_norm': 5.587911159001349, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.0156, 'grad_norm': 29.027905696504888, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.9297, 'grad_norm': 7.847741388261813, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 3.0938, 'grad_norm': 58.42688399193444, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.0781, 'grad_norm': 30.531068002552246, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.125, 'grad_norm': 12.656849760014518, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 3.3125, 'grad_norm': 57.185092196639694, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.3906, 'grad_norm': 8.324383212703435, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.4219, 'grad_norm': 10.664050510001312, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.6641, 'grad_norm': 13.50965021135146, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.7031, 'grad_norm': 19.962981712147382, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 1.4531, 'grad_norm': 10.137245221077647, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.0, 'grad_norm': 11.419923029069713, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.6406, 'grad_norm': 37.52905122046204, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 1.4922, 'grad_norm': 9.879752818595133, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.2344, 'grad_norm': 9.969881660667225, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.8906, 'grad_norm': 12.532838432663308, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 1.6406, 'grad_norm': 9.110131999509335, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 1.9766, 'grad_norm': 15.231145068612701, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.4531, 'grad_norm': 15.29643655305421, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.5781, 'grad_norm': 10.825771855278768, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.6719, 'grad_norm': 19.867087851367213, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.5625, 'grad_norm': 12.377846325502889, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 1.2969, 'grad_norm': 27.496184061688844, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 1.75, 'grad_norm': 10.629945811262496, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.3594, 'grad_norm': 13.063611711245484, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.3125, 'grad_norm': 6.74031758424904, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 1.8672, 'grad_norm': 13.109328628845862, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 1.8594, 'grad_norm': 7.381336792932353, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 1.7734, 'grad_norm': 5.902661711845967, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.2656, 'grad_norm': 12.150858466902669, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 1.2188, 'grad_norm': 13.12060860094006, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.1094, 'grad_norm': 46.75330147948205, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.5781, 'grad_norm': 11.653723645141294, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 1.0234, 'grad_norm': 29.038734033861555, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 1.7188, 'grad_norm': 17.064268952259436, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.125, 'grad_norm': 15.467827412774852, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.0781, 'grad_norm': 9.72721609601233, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.125, 'grad_norm': 9.511337443118562, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 1.1562, 'grad_norm': 19.031258200787583, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 0.7383, 'grad_norm': 17.209673770249125, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.1719, 'grad_norm': 11.09777241035321, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 1.6797, 'grad_norm': 12.533172510601872, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 1.9531, 'grad_norm': 10.623448790460406, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.4531, 'grad_norm': 14.987400699257124, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 1.25, 'grad_norm': 11.94965130366048, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.7969, 'grad_norm': 15.938686945659725, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 1.9766, 'grad_norm': 8.279261002176568, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.0, 'grad_norm': 7.551667385450516, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 2.7188, 'grad_norm': 9.682307407533258, 'learning_rate': 2e-05, 'epoch': 0.25}
{'loss': 0.9414, 'grad_norm': 6.235142409165446, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 1.5469, 'grad_norm': 6.070323191749309, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 2.2812, 'grad_norm': 7.321852656480732, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 1.7422, 'grad_norm': 18.07654709211201, 'learning_rate': 2e-05, 'epoch': 0.26}
